sample_name	seqPlatform	seqCenter	libraryPrep	species	captureDesign	sizeFrac	tissue	cellFrac	cappedSpikeIns	bioRep	techRep	date_sequenced	biosample_id	reverse_transcriptase	use_matched_HiSeq	subProject	filter_SJ_Qscore	comments
ont-Crg-CapTrap_Hv3_0+_WBlood01Rep1	ONT	Crg	CapTrap	Human	Hv3	0+	WBlood	Total	TRUE	1	1	20200928	CRG_HSaWBLOOD_20191127	PrimeScript II	FALSE	GENCODE	10	
pacBioSII-Cshl-CapTrap_MpreCap_0+_Heart01Rep1	pacBioSII	Cshl	CapTrap	Mouse	MpreCap	0+	Heart	Total	TRUE	1	1	20200901	CRG_CRG0002_MMaHEART_20180919	PrimeScript II	FALSE	GENCODE	30	
pacBioSII-Uci-SmartSeq2_HpreCap_0+_Mix03Rep2	pacBioSII	Uci	SmartSeq2	Human	HpreCap	0+	Mix	Total	TRUE	3	2	20210501	ali-mortazavi-h1_es_3,ali-mortazavi-h1_de_3	Maxima	FALSE	LRGASP	30	
pacBioSII-Uci-CapTrap_HpreCap_0+_Mix03Rep1	pacBioSII	Uci	CapTrap	Human	HpreCap	0+	Mix	Total	TRUE	3	1	20210501	ali-mortazavi-h1_es_3,ali-mortazavi-h1_de_3	PrimeScript II	FALSE	LRGASP	30	
ont-Crg-CapTrap_Hv3_0+_Heart02Rep1	ONT	Crg	CapTrap	Human	Hv3	0+	Heart	Total	TRUE	2	1	20200921	Ambion_AM7966_HSaHEART_1906770	PrimeScript II	FALSE	GENCODE	10	
pacBioSII-Uci-SmartSeq2_HpreCap_0+_Mix01Rep2	pacBioSII	Uci	SmartSeq2	Human	HpreCap	0+	Mix	Total	TRUE	1	2	20210501	ali-mortazavi-h1_es_1,ali-mortazavi-h1_de_1	Maxima	FALSE	LRGASP	30	
ont-Crg-CapTrap_HpreCap_0+_HEK293T01Rep3	ONT	Crg	CapTrap	Human	HpreCap	0+	HEK293T	Total	TRUE	1	3	20200901	CRG_CRG0009_HeK293T_20200504	PrimeScript II	FALSE	GENCODE	10	
ont-Crg-CapTrap_HpreCap_0+_HEK293T01Rep2	ONT	Crg	CapTrap	Human	HpreCap	0+	HEK293T	Total	TRUE	1	2	20200708	CRG_CRG0009_HeK293T_20200504	PrimeScript II	FALSE	GENCODE	10	
ont-Ucsc-R2C2_HpreCap_0+_Mix01Rep1	ONT	Ucsc	R2C2	Human	HpreCap	0+	Mix	Total	TRUE	1	1	20210114	ali-mortazavi-h1_es_1,ali-mortazavi-h1_de_1	SMART MMLV	FALSE	LRGASP	10	
ont-Crg-Smarter_HpreCap_0+_Heart01Rep1	ONT	Crg	SMARTer	Human	HpreCap	0+	Heart	Total	FALSE	1	1	20190410	AM7966_HSaHEART_1866106	SMARTScribe	TRUE	GENCODE-BENCHMARK	10	
